sinif,unite,konu,kazanim_kodu,kazanim_aciklamasi,ders
5. Sınıf,School Life,School Life,ENG.5.1.1.1.,"Students can get ready for the listening/watching-comprehension process for the current content on ""school life with people, places and rules at school; school clubs; countries; national days and celebrations"" carefully.",İngilizce
5. Sınıf,School Life,School Life,ENG.5.1.1.2.,"Students can bring information about the current content on ""school life with people, places and rules at school; school clubs; countries; national days and celebrations"" together through significant details and main components while listening/watching it.",İngilizce
5. Sınıf,School Life,School Life,ENG.5.1.1.3.,"Students can make meaning of/derive meaning from the current content on ""school life with people, places and rules at school; school clubs; countries; national days and celebrations"" through significant details by listening/watching it carefully.",İngilizce
5. Sınıf,School Life,School Life,ENG.5.1.1.4.,"Students can convey their knowledge, experience, thoughts, and feelings examined carefully about the whole listening/watching-comprehension process in relation to the current content on ""school life with people, places and rules at school; school clubs; countries; national days and celebrations"".",İngilizce
5. Sınıf,School Life,School Life,ENG.5.1.G1.,"Students can select and use the target grammatical elements of the current content about ""school life with people, places and rules at school; school clubs; countries; national days and celebrations"" accurately, authentically, spontaneously, and naturally and use it appropriately and effectively when communicating with others.",İngilizce
5. Sınıf,School Life,School Life,ENG.5.1.P1.,"Students can select and use the target phonological elements of the current content about ""school life with people, places and rules at school; school clubs; countries; national days and celebrations"" accurately, authentically, and naturally through spontaneous decision-making processes and use it in an appropriate and effective way when communicating with others.",İngilizce
5. Sınıf,School Life,School Life,ENG.5.1.R1.,"Students can get ready for the reading-comprehension process about the current content on ""school life with people, places and rules at school; school clubs; countries; national days and celebrations"".",İngilizce
5. Sınıf,School Life,School Life,ENG.5.1.R2.,"Students can bring information about the current content on ""school life with people, places and rules at school; school clubs; countries; national days and celebrations"" through skimming (looking quickly at) the audio-visual elements and reading the content very quickly.",İngilizce
5. Sınıf,School Life,School Life,ENG.5.1.R3.,"Students can make meaning of / derive meaning from the current content about ""school life with people, places and rules at school; school clubs; countries; national days and celebrations"" by reading it carefully.",İngilizce
5. Sınıf,School Life,School Life,ENG.5.1.R4.,"Students can convey their knowledge, experiences, thoughts, and feelings related to the reading-comprehension process about the current content, ""school life with people, places and rules at school; school clubs; countries; national days and celebrations"" in relation to themselves or others, both individually and/or with others.",İngilizce
5. Sınıf,School Life,School Life,ENG.5.1.S1.,"Students can get ready for speaking-expression process about the current content on ""school life with people, places and rules at school; school clubs; countries; national days and celebrations"".",İngilizce
5. Sınıf,School Life,School Life,ENG.5.1.S2.,"Students can use the model/example for producing verbal content about the current content on ""school life with people, places and rules at school; school clubs; countries; national days and celebrations"".",İngilizce
